                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                0.68193,                0.73668,                 1.0203,                0.99519,                      1,                  0.995,                0.89722,                0.51234,                0.52144,                0.83077,             0.00035254,             0.00035254,             0.00035254
                    133,                0.64546,                0.66772,                0.97315,                0.99473,                      1,                  0.995,                0.89478,                0.52841,                0.52347,                 0.8358,             0.00035159,             0.00035159,             0.00035159
                    134,                0.62854,                0.75508,                0.97122,                0.99479,                      1,                  0.995,                 0.8958,                0.53279,                0.51141,                0.83449,             0.00035065,             0.00035065,             0.00035065
                    135,                0.59122,                0.64389,                0.94315,                0.99608,                      1,                  0.995,                0.89769,                0.52543,                0.49776,                0.83295,             0.00034971,             0.00034971,             0.00034971
                    136,                0.62198,                0.65588,                0.95512,                0.99608,                      1,                  0.995,                0.89769,                0.52543,                0.49776,                0.83295,             0.00034877,             0.00034877,             0.00034877
                    137,                0.62533,                0.65681,                0.95419,                0.99638,                      1,                  0.995,                0.89746,                 0.5176,                0.48869,                0.83247,             0.00034782,             0.00034782,             0.00034782
                    138,                0.53902,                0.57957,                0.92327,                0.99302,                      1,                  0.995,                0.89795,                0.51258,                0.50752,                0.83175,             0.00034688,             0.00034688,             0.00034688
                    139,                0.61925,                0.72587,                0.97035,                0.98943,                      1,                  0.995,                0.89645,                0.50394,                0.52633,                0.82883,             0.00034594,             0.00034594,             0.00034594
                    140,                0.52726,                0.65253,                0.89569,                0.98943,                      1,                  0.995,                0.89645,                0.50394,                0.52633,                0.82883,               0.000345,               0.000345,               0.000345
                    141,                0.57133,                0.64752,                0.92823,                0.98718,                      1,                  0.995,                0.89314,                0.50234,                0.53457,                 0.8269,             0.00034405,             0.00034405,             0.00034405
                    142,                0.63036,                0.69845,                0.96767,                0.98761,                      1,                  0.995,                0.90095,                0.48792,                0.53518,                0.82225,             0.00034311,             0.00034311,             0.00034311
                    143,                0.59745,                0.59727,                0.94384,                0.98988,                      1,                  0.995,                0.89696,                0.48621,                0.52212,                0.81884,             0.00034217,             0.00034217,             0.00034217
                    144,                0.63638,                0.67093,                0.96235,                0.98988,                      1,                  0.995,                0.89696,                0.48621,                0.52212,                0.81884,             0.00034123,             0.00034123,             0.00034123
                    145,                0.64647,                0.70554,                0.94686,                 0.9918,                      1,                  0.995,                0.90173,                0.49843,                0.50733,                0.82048,             0.00034028,             0.00034028,             0.00034028
                    146,                0.61523,                0.65181,                0.94119,                0.99346,                      1,                  0.995,                0.89308,                0.51289,                0.49628,                 0.8226,             0.00033934,             0.00033934,             0.00033934
                    147,                0.61514,                0.65368,                0.92006,                0.99473,                      1,                  0.995,                0.89203,                0.51255,                0.49142,                0.82239,              0.0003384,              0.0003384,              0.0003384
                    148,                0.62391,                0.61569,                0.94801,                0.99473,                      1,                  0.995,                0.89203,                0.51255,                0.49142,                0.82239,             0.00033746,             0.00033746,             0.00033746
                    149,                0.59946,                0.64594,                0.93067,                0.99551,                      1,                  0.995,                0.89011,                0.50445,                0.49471,                0.82186,             0.00033651,             0.00033651,             0.00033651
                    150,                0.59427,                0.67233,                0.95111,                0.99621,                      1,                  0.995,                0.90482,                 0.4768,                0.49153,                0.81525,             0.00033557,             0.00033557,             0.00033557
                    151,                0.55849,                0.59795,                0.94141,                0.99686,                      1,                  0.995,                0.90305,                 0.4445,                0.48254,                0.80491,             0.00033463,             0.00033463,             0.00033463
                    152,                0.54047,                0.63206,                0.90259,                0.99686,                      1,                  0.995,                0.90305,                 0.4445,                0.48254,                0.80491,             0.00033369,             0.00033369,             0.00033369
                    153,                0.63571,                 0.7267,                0.98797,                0.99728,                      1,                  0.995,                0.90807,                0.43418,                0.48332,                0.80272,             0.00033274,             0.00033274,             0.00033274
                    154,                0.66971,                0.64668,                0.95969,                0.99702,                      1,                  0.995,                0.90515,                0.43639,                0.47467,                0.80448,              0.0003318,              0.0003318,              0.0003318
                    155,                0.64319,                0.64142,                0.97877,                0.99705,                      1,                  0.995,                0.90477,                 0.4421,                 0.4753,                0.80531,             0.00033086,             0.00033086,             0.00033086
                    156,                0.61992,                0.65429,                0.97181,                0.99705,                      1,                  0.995,                0.90477,                 0.4421,                 0.4753,                0.80531,             0.00032992,             0.00032992,             0.00032992
